nome_associacao,localidade_principal,nome_produto,produto_organico,avaliacao_produto,disponivel_primavera,disponivel_verao,disponivel_outono,disponivel_inverno
Associação Agrícola do Distrito Federal e Ride (Agrifam),Taguatinga,Pitaia,0,3,0,1,1,0
Associação Agrícola do Distrito Federal e Ride (Agrifam),Taguatinga,Abóbora,0,3,1,1,1,1
Associação Agrícola do Distrito Federal e Ride (Agrifam),Taguatinga,Mandioca,0,4,1,1,1,1
Associação Agrícola do Distrito Federal e Ride (Agrifam),Taguatinga,Gengibre,0,3,0,1,1,0
Associação Agrícola do Distrito Federal e Ride (Agrifam),Taguatinga,Lichia,0,5,0,1,0,0
Associação Agrícola do Distrito Federal e Ride (Agrifam),Taguatinga,Tangerina,0,3,0,0,1,1
Associação Agrícola do Distrito Federal e Ride (Agrifam),Taguatinga,Cenoura,0,4,1,1,1,1
"Associação Mista dos Agricultores Familiares, Orgânicos e Produtores Rurais do DF e Entorno (Amista)",Santa Maria,Maracujá,1,4,1,1,1,0
"Associação Mista dos Agricultores Familiares, Orgânicos e Produtores Rurais do DF e Entorno (Amista)",Santa Maria,Pitaia,0,5,0,1,1,0
"Associação Mista dos Agricultores Familiares, Orgânicos e Produtores Rurais do DF e Entorno (Amista)",Santa Maria,Jiló,1,3,1,1,1,0
"Associação Mista dos Agricultores Familiares, Orgânicos e Produtores Rurais do DF e Entorno (Amista)",Santa Maria,Beterraba,0,3,1,1,1,1
"Associação Mista dos Agricultores Familiares, Orgânicos e Produtores Rurais do DF e Entorno (Amista)",Santa Maria,Cenoura,1,3,1,1,1,1
"Associação Mista dos Agricultores Familiares, Orgânicos e Produtores Rurais do DF e Entorno (Amista)",Santa Maria,Quiabo,0,4,1,1,0,0
"Associação Mista dos Agricultores Familiares, Orgânicos e Produtores Rurais do DF e Entorno (Amista)",Santa Maria,Goiaba,0,4,0,1,1,0
"Associação Mista dos Agricultores Familiares, Orgânicos e Produtores Rurais do DF e Entorno (Amista)",Santa Maria,Tomate,1,4,1,1,1,0
Associação dos Produtores da Agricultura Familiar (Aspaf),Guará,Limão,0,4,1,1,1,1
Associação dos Produtores da Agricultura Familiar (Aspaf),Guará,Lichia,0,3,0,1,0,0
Associação dos Produtores da Agricultura Familiar (Aspaf),Guará,Beterraba,1,4,1,1,1,1
Associação dos Produtores da Agricultura Familiar (Aspaf),Guará,Pitaia,0,3,0,1,1,0
Associação dos Produtores da Agricultura Familiar (Aspaf),Guará,Jiló,0,4,1,1,1,0
Associação dos Produtores da Agricultura Familiar (Aspaf),Guará,Alface,0,3,1,1,1,1
Associação dos Produtores da Agricultura Familiar (Aspaf),Guará,Couve,1,3,1,1,1,1
Associação dos Produtores da Agricultura Familiar (Aspaf),Guará,Abacate,0,5,1,0,0,0
Associação dos Produtores Rurais de Alexandre Gusmão (AsSpag),Brazlândia,Beterraba,0,3,1,1,1,1
Associação dos Produtores Rurais de Alexandre Gusmão (AsSpag),Brazlândia,Agrião,0,4,1,0,1,1
Associação dos Produtores Rurais de Alexandre Gusmão (AsSpag),Brazlândia,Pepino,0,3,1,1,1,0
Associação dos Produtores Rurais de Alexandre Gusmão (AsSpag),Brazlândia,Tomate,0,3,1,1,1,0
Associação dos Produtores Rurais de Alexandre Gusmão (AsSpag),Brazlândia,Coco,0,3,1,1,1,1
Associação dos Produtores Rurais de Alexandre Gusmão (AsSpag),Brazlândia,Abóbora,0,4,1,1,1,1
Associação dos Produtores Rurais de Alexandre Gusmão (AsSpag),Brazlândia,Abacate,0,3,1,0,0,0
Associação dos Produtores Rurais de Alexandre Gusmão (AsSpag),Brazlândia,Brócolis,1,3,0,0,1,1
Associação dos Produtores Rurais de Alexandre Gusmão (AsSpag),Brazlândia,Batata,0,3,0,0,1,1
Associação dos Produtores Rurais de Alexandre Gusmão (AsSpag),Brazlândia,Pitaia,1,4,0,1,1,0
Associação dos Produtores Rurais de Alexandre Gusmão (AsSpag),Brazlândia,Repolho,0,3,1,0,1,1
Associação dos Produtores Rurais de Alexandre Gusmão (AsSpag),Brazlândia,Morango,0,4,1,0,1,1
Associação dos Produtores Rurais de Alexandre Gusmão (AsSpag),Brazlândia,Cebola,0,5,1,1,0,0
Associação dos Produtores Rurais de Alexandre Gusmão (AsSpag),Brazlândia,Alface,1,4,1,1,1,1
Associação dos Produtores Rurais de Alexandre Gusmão (AsSpag),Brazlândia,Quiabo,0,3,1,1,0,0
Associação dos Produtores de Hortigranjeiros do Distrito Federal (Asphor),Gama,Cebola,0,4,1,1,0,0
Associação dos Produtores de Hortigranjeiros do Distrito Federal (Asphor),Gama,Chuchu,0,5,1,1,1,0
Associação dos Produtores de Hortigranjeiros do Distrito Federal (Asphor),Gama,Alface,0,5,1,1,1,1
Associação dos Produtores de Hortigranjeiros do Distrito Federal (Asphor),Gama,Repolho,0,5,1,0,1,1
Associação dos Produtores de Hortigranjeiros do Distrito Federal (Asphor),Gama,Mandioca,1,4,1,1,1,1
Associação dos Produtores de Hortigranjeiros do Distrito Federal (Asphor),Gama,Goiaba,0,3,0,1,1,0
Associação dos Produtores de Hortigranjeiros do Distrito Federal (Asphor),Gama,Pitaia,0,3,0,1,1,0
Associação dos Produtores de Hortigranjeiros do Distrito Federal (Asphor),Gama,Banana,0,3,1,1,1,1
Associação dos Produtores Rurais Orgânicos e Convencionais do Distrito Federal e Entorno (Asproc),Ceilândia,Abacate,1,4,1,0,0,0
Associação dos Produtores Rurais Orgânicos e Convencionais do Distrito Federal e Entorno (Asproc),Ceilândia,Tomate,0,3,1,1,1,0
Associação dos Produtores Rurais Orgânicos e Convencionais do Distrito Federal e Entorno (Asproc),Ceilândia,Coco,0,3,1,1,1,1
Associação dos Produtores Rurais Orgânicos e Convencionais do Distrito Federal e Entorno (Asproc),Ceilândia,Batata,1,5,0,0,1,1
Associação dos Produtores Rurais Orgânicos e Convencionais do Distrito Federal e Entorno (Asproc),Ceilândia,Pepino,1,5,1,1,1,0
Associação dos Produtores Rurais Orgânicos e Convencionais do Distrito Federal e Entorno (Asproc),Ceilândia,Pimentão,1,5,1,1,1,0
Associação dos Produtores Rurais Orgânicos e Convencionais do Distrito Federal e Entorno (Asproc),Ceilândia,Banana,1,3,1,1,1,1
Associação dos Produtores Rurais Orgânicos e Convencionais do Distrito Federal e Entorno (Asproc),Ceilândia,Limão,1,3,1,1,1,1
Associação dos Produtores Rurais Orgânicos e Convencionais do Distrito Federal e Entorno (Asproc),Ceilândia,Maracujá,1,3,1,1,1,0
Associação dos Produtores Rurais Orgânicos e Convencionais do Distrito Federal e Entorno (Asproc),Ceilândia,Manga,1,3,1,1,0,0
Associação dos Produtores Rurais Orgânicos e Convencionais do Distrito Federal e Entorno (Asproc),Ceilândia,Chuchu,1,4,1,1,1,0
Associação dos Produtores Rurais Orgânicos e Convencionais do Distrito Federal e Entorno (Asproc),Ceilândia,Quiabo,1,3,1,1,0,0
Associação dos Produtores Rurais Orgânicos e Convencionais do Distrito Federal e Entorno (Asproc),Ceilândia,Mandioca,1,5,1,1,1,1
Associação dos Produtores Rurais Orgânicos e Convencionais do Distrito Federal e Entorno (Asproc),Ceilândia,Mamão,1,4,1,1,1,1
Associação dos Produtores Rurais Novo Horizonte Betinho (Aspronte),Ceilândia,Agrião,0,4,1,0,1,1
Associação dos Produtores Rurais Novo Horizonte Betinho (Aspronte),Ceilândia,Tangerina,0,3,0,0,1,1
Associação dos Produtores Rurais Novo Horizonte Betinho (Aspronte),Ceilândia,Pitaia,0,3,0,1,1,0
Associação dos Produtores Rurais Novo Horizonte Betinho (Aspronte),Ceilândia,Manga,0,4,1,1,0,0
Associação dos Produtores Rurais Novo Horizonte Betinho (Aspronte),Ceilândia,Chuchu,0,4,1,1,1,0
Associação dos Produtores Rurais Novo Horizonte Betinho (Aspronte),Ceilândia,Mandioca,0,5,1,1,1,1
Associação dos Produtores Rurais Novo Horizonte Betinho (Aspronte),Ceilândia,Brócolis,0,4,0,0,1,1
Associação dos Produtores Rurais Novo Horizonte Betinho (Aspronte),Ceilândia,Gengibre,0,5,0,1,1,0
Associação dos Produtores Rurais Novo Horizonte Betinho (Aspronte),Ceilândia,Lichia,1,4,0,1,0,0
Associação dos Produtores Rurais Novo Horizonte Betinho (Aspronte),Ceilândia,Limão,0,3,1,1,1,1
Associação dos Trabalhadores Rurais da Agricultura Familiar do Assentamento Chapadinha (Astraf),Guará,Pitaia,1,4,0,1,1,0
Associação dos Trabalhadores Rurais da Agricultura Familiar do Assentamento Chapadinha (Astraf),Guará,Couve,0,3,1,1,1,1
Associação dos Trabalhadores Rurais da Agricultura Familiar do Assentamento Chapadinha (Astraf),Guará,Cenoura,1,5,1,1,1,1
Associação dos Trabalhadores Rurais da Agricultura Familiar do Assentamento Chapadinha (Astraf),Guará,Morango,0,3,1,0,1,1
Associação dos Trabalhadores Rurais da Agricultura Familiar do Assentamento Chapadinha (Astraf),Guará,Lichia,0,4,0,1,0,0
Associação dos Trabalhadores Rurais da Agricultura Familiar do Assentamento Chapadinha (Astraf),Guará,Mandioca,1,4,1,1,1,1
Associação dos Trabalhadores Rurais da Agricultura Familiar do Assentamento Chapadinha (Astraf),Guará,Limão,0,3,1,1,1,1
Associação dos Trabalhadores Rurais da Agricultura Familiar do Assentamento Chapadinha (Astraf),Guará,Alface,0,3,1,1,1,1
Cooperativa Mista da Agricultura Familiar do Meio Ambiente e da Cultura do Brasil (Coopbrasil),Gama,Limão,0,5,1,1,1,1
Cooperativa Mista da Agricultura Familiar do Meio Ambiente e da Cultura do Brasil (Coopbrasil),Gama,Coco,0,3,1,1,1,1
Cooperativa Mista da Agricultura Familiar do Meio Ambiente e da Cultura do Brasil (Coopbrasil),Gama,Batata,0,5,0,0,1,1
Cooperativa Mista da Agricultura Familiar do Meio Ambiente e da Cultura do Brasil (Coopbrasil),Gama,Abóbora,0,3,1,1,1,1
Cooperativa Mista da Agricultura Familiar do Meio Ambiente e da Cultura do Brasil (Coopbrasil),Gama,Quiabo,0,3,1,1,0,0
Cooperativa Mista da Agricultura Familiar do Meio Ambiente e da Cultura do Brasil (Coopbrasil),Gama,Cenoura,1,5,1,1,1,1
Cooperativa Mista da Agricultura Familiar do Meio Ambiente e da Cultura do Brasil (Coopbrasil),Gama,Beterraba,0,4,1,1,1,1
Cooperativa Mista da Agricultura Familiar do Meio Ambiente e da Cultura do Brasil (Coopbrasil),Gama,Banana,0,4,1,1,1,1
Cooperativa Agrícola Buriti Vermelho (Cooper-Horti),Paranoá,Abacate,0,3,1,0,0,0
Cooperativa Agrícola Buriti Vermelho (Cooper-Horti),Paranoá,Quiabo,0,5,1,1,0,0
Cooperativa Agrícola Buriti Vermelho (Cooper-Horti),Paranoá,Couve,0,3,1,1,1,1
Cooperativa Agrícola Buriti Vermelho (Cooper-Horti),Paranoá,Banana,0,5,1,1,1,1
Cooperativa Agrícola Buriti Vermelho (Cooper-Horti),Paranoá,Agrião,0,3,1,0,1,1
Cooperativa Agrícola Buriti Vermelho (Cooper-Horti),Paranoá,Tomate,0,4,1,1,1,0
Cooperativa Agrícola Buriti Vermelho (Cooper-Horti),Paranoá,Beterraba,0,4,1,1,1,1
Cooperativa Agrícola Buriti Vermelho (Cooper-Horti),Paranoá,Lichia,0,4,0,1,0,0
Cooperativa Agrícola Buriti Vermelho (Cooper-Horti),Paranoá,Limão,0,5,1,1,1,1
Cooperativa Agrícola Buriti Vermelho (Cooper-Horti),Paranoá,Gengibre,0,4,0,1,1,0
Cooperativa Agrícola Buriti Vermelho (Cooper-Horti),Paranoá,Batata,1,5,0,0,1,1
Cooperativa Agrícola Buriti Vermelho (Cooper-Horti),Paranoá,Repolho,0,5,1,0,1,1
Cooperativa dos Produtores Rurais de Planaltina de Goiás e Região (Prorural),Plano Piloto,Couve,1,4,1,1,1,1
Cooperativa dos Produtores Rurais de Planaltina de Goiás e Região (Prorural),Plano Piloto,Agrião,0,5,1,0,1,1
Cooperativa dos Produtores Rurais de Planaltina de Goiás e Região (Prorural),Plano Piloto,Alface,0,5,1,1,1,1
Cooperativa dos Produtores Rurais de Planaltina de Goiás e Região (Prorural),Plano Piloto,Pepino,0,4,1,1,1,0
Cooperativa dos Produtores Rurais de Planaltina de Goiás e Região (Prorural),Plano Piloto,Chuchu,0,4,1,1,1,0
Cooperativa dos Produtores Rurais de Planaltina de Goiás e Região (Prorural),Plano Piloto,Morango,0,3,1,0,1,1
Cooperativa dos Produtores Rurais de Planaltina de Goiás e Região (Prorural),Plano Piloto,Jiló,1,5,1,1,1,0
Cooperativa dos Produtores Rurais de Planaltina de Goiás e Região (Prorural),Plano Piloto,Tomate,1,4,1,1,1,0
Cooperativa dos Produtores Rurais de Planaltina de Goiás e Região (Prorural),Plano Piloto,Repolho,0,3,1,0,1,1
Cooperativa dos Produtores Rurais de Planaltina de Goiás e Região (Prorural),Plano Piloto,Abóbora,1,3,1,1,1,1
Cooperativa dos Produtores Rurais de Planaltina de Goiás e Região (Prorural),Plano Piloto,Gengibre,0,5,0,1,1,0
Cooperativa Agropecuária da Região de Brazlândia (Coopebraz),Brazlândia,Maracujá,0,5,1,1,1,0
Cooperativa Agropecuária da Região de Brazlândia (Coopebraz),Brazlândia,Quiabo,0,3,1,1,0,0
Cooperativa Agropecuária da Região de Brazlândia (Coopebraz),Brazlândia,Lichia,1,3,0,1,0,0
Cooperativa Agropecuária da Região de Brazlândia (Coopebraz),Brazlândia,Cenoura,0,5,1,1,1,1
Cooperativa Agropecuária da Região de Brazlândia (Coopebraz),Brazlândia,Jiló,0,5,1,1,1,0
Cooperativa Agropecuária da Região de Brazlândia (Coopebraz),Brazlândia,Brócolis,1,3,0,0,1,1
Cooperativa Agropecuária da Região de Brazlândia (Coopebraz),Brazlândia,Pitaia,0,4,0,1,1,0
Cooperativa Agropecuária da Região de Brazlândia (Coopebraz),Brazlândia,Goiaba,0,5,0,1,1,0
Cooperativa Agropecuária da Região de Brazlândia (Coopebraz),Brazlândia,Agrião,0,4,1,0,1,1
Cooperativa Agropecuária da Região de Brazlândia (Coopebraz),Brazlândia,Graviola,1,3,1,1,1,0
Cooperativa de Agricultura Familiar Mista do Distrito Federal (Coopermista),Planaltina,Abacate,0,5,1,0,0,0
Cooperativa de Agricultura Familiar Mista do Distrito Federal (Coopermista),Planaltina,Cenoura,0,4,1,1,1,1
Cooperativa de Agricultura Familiar Mista do Distrito Federal (Coopermista),Planaltina,Lichia,0,3,0,1,0,0
Cooperativa de Agricultura Familiar Mista do Distrito Federal (Coopermista),Planaltina,Morango,1,4,1,0,1,1
Cooperativa de Agricultura Familiar Mista do Distrito Federal (Coopermista),Planaltina,Abóbora,0,5,1,1,1,1
Cooperativa de Agricultura Familiar Mista do Distrito Federal (Coopermista),Planaltina,Pimentão,1,5,1,1,1,0
Cooperativa de Agricultura Familiar Mista do Distrito Federal (Coopermista),Planaltina,Brócolis,1,5,0,0,1,1
Cooperativa de Agricultura Familiar Mista do Distrito Federal (Coopermista),Planaltina,Beterraba,1,3,1,1,1,1
Cooperativa de Agricultura Familiar Mista do Distrito Federal (Coopermista),Planaltina,Uva,1,5,0,1,0,0
Cooperativa dos Agricultores Familiares Ecológicos do Cerrado (Rede Terra),Santa Maria,Batata,1,4,0,0,1,1
Cooperativa dos Agricultores Familiares Ecológicos do Cerrado (Rede Terra),Santa Maria,Abóbora,1,3,1,1,1,1
Cooperativa dos Agricultores Familiares Ecológicos do Cerrado (Rede Terra),Santa Maria,Goiaba,1,3,0,1,1,0
Cooperativa dos Agricultores Familiares Ecológicos do Cerrado (Rede Terra),Santa Maria,Jiló,0,3,1,1,1,0
Cooperativa dos Agricultores Familiares Ecológicos do Cerrado (Rede Terra),Santa Maria,Agrião,0,3,1,0,1,1
Cooperativa dos Agricultores Familiares Ecológicos do Cerrado (Rede Terra),Santa Maria,Graviola,1,4,1,1,1,0
Cooperativa dos Agricultores Familiares Ecológicos do Cerrado (Rede Terra),Santa Maria,Tomate,1,5,1,1,1,0
Cooperativa dos Agricultores Familiares Ecológicos do Cerrado (Rede Terra),Santa Maria,Alface,1,3,1,1,1,1
Cooperativa Agrícola da Região de Planaltina (Cootaquara),Ceilândia,Batata,0,5,0,0,1,1
Cooperativa Agrícola da Região de Planaltina (Cootaquara),Ceilândia,Cebola,1,5,1,1,0,0
Cooperativa Agrícola da Região de Planaltina (Cootaquara),Ceilândia,Pimentão,0,3,1,1,1,0
Cooperativa Agrícola da Região de Planaltina (Cootaquara),Ceilândia,Banana,0,5,1,1,1,1
Cooperativa Agrícola da Região de Planaltina (Cootaquara),Ceilândia,Pitaia,1,5,0,1,1,0
Cooperativa Agrícola da Região de Planaltina (Cootaquara),Ceilândia,Lichia,0,5,0,1,0,0
Cooperativa Agrícola da Região de Planaltina (Cootaquara),Ceilândia,Abacate,1,5,1,0,0,0
Cooperativa Agrícola da Região de Planaltina (Cootaquara),Ceilândia,Jiló,0,3,1,1,1,0
Cooperativa Agrícola da Região de Planaltina (Cootaquara),Ceilândia,Maracujá,0,5,1,1,1,0
Cooperativa Agrícola da Região de Planaltina (Cootaquara),Ceilândia,Beterraba,0,3,1,1,1,1
Cooperativa Agrícola da Região de Planaltina (Cootaquara),Ceilândia,Gengibre,0,4,0,1,1,0
Cooperativa Agrícola da Região de Planaltina (Cootaquara),Ceilândia,Mamão,0,4,1,1,1,1
Cooperativa Agrícola da Região de Planaltina (Cootaquara),Ceilândia,Atemóia,0,4,0,0,1,0
"Cooperativa de Serviços Ambientais, Agricultura Familiar, Sociedade, Cultura e Saúde (Cooperbrasília)",Sobradinho,Coco,0,3,1,1,1,1
"Cooperativa de Serviços Ambientais, Agricultura Familiar, Sociedade, Cultura e Saúde (Cooperbrasília)",Sobradinho,Cajamanga,1,4,1,1,0,0
"Cooperativa de Serviços Ambientais, Agricultura Familiar, Sociedade, Cultura e Saúde (Cooperbrasília)",Sobradinho,Limão,1,4,1,1,1,1
"Cooperativa de Serviços Ambientais, Agricultura Familiar, Sociedade, Cultura e Saúde (Cooperbrasília)",Sobradinho,Gengibre,1,4,0,1,1,0
"Cooperativa de Serviços Ambientais, Agricultura Familiar, Sociedade, Cultura e Saúde (Cooperbrasília)",Sobradinho,Pitaia,0,3,0,1,1,0
"Cooperativa de Serviços Ambientais, Agricultura Familiar, Sociedade, Cultura e Saúde (Cooperbrasília)",Sobradinho,Uva,0,3,0,1,0,0
"Cooperativa de Serviços Ambientais, Agricultura Familiar, Sociedade, Cultura e Saúde (Cooperbrasília)",Sobradinho,Tangerina,0,5,0,0,1,1
"Cooperativa de Serviços Ambientais, Agricultura Familiar, Sociedade, Cultura e Saúde (Cooperbrasília)",Sobradinho,Cebola,1,3,1,1,0,0
"Cooperativa de Serviços Ambientais, Agricultura Familiar, Sociedade, Cultura e Saúde (Cooperbrasília)",Sobradinho,Cenoura,0,5,1,1,1,1
"Cooperativa de Serviços Ambientais, Agricultura Familiar, Sociedade, Cultura e Saúde (Cooperbrasília)",Sobradinho,Mandioca,1,3,1,1,1,1
